dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed,sketch_dim,public_validation_samples,protocol_online_bytes,protocol_offline_bytes,secure_multiplications
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,1,0.095,2.3047313842773436,0.017351598173515982,0,0,0.0,0.0,0.0,0.4175000000001816,4234640,485.76109999999994,2131,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,2,0.095,2.3054469604492187,0.017351598173515982,0,0,0.0,0.0,0.0,0.35700000000016274,4234640,445.50730000000004,2131,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,3,0.095,2.3093177490234376,0.017351598173515982,0,0,0.0,0.0,0.0,0.38800000000005497,4234640,517.2951000000002,2131,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,4,0.095,2.318806945800781,0.017351598173515982,0,0,0.0,0.0,0.0,0.3180999999994327,4234640,491.89409999999964,2131,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,5,0.095,2.3335234985351563,0.017351598173515982,0,0,0.0,0.0,0.0,0.5725999999999232,4234640,483.87840000000006,2131,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,6,0.134,2.348926696777344,0.06895378224857993,0,0,0.0,0.0,0.0,0.2838999999994485,4234640,459.4342000000005,2131,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,7,0.095,2.354810546875,0.017351598173515982,0,0,0.0,0.0,0.0,0.26840000000039055,4234640,472.81050000000045,2131,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,8,0.178,2.3365160522460937,0.0619581331910099,0,0,0.0,0.0,0.0,0.31449999999999534,4234640,436.7654999999999,2131,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,9,0.095,2.3283228759765624,0.017351598173515982,0,0,0.0,0.0,0.0,0.3207000000005067,4234640,437.3472000000005,2131,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,10,0.197,2.2967073974609375,0.12400590424849185,0,0,0.0,0.0,0.0,0.3687000000001106,4234640,438.86469999999986,2131,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,11,0.157,2.2626178588867187,0.09309182519040343,0,0,0.0,0.0,0.0,0.3947000000001921,4234640,458.7858000000002,2131,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,12,0.27,2.214279296875,0.1575338159982979,0,0,0.0,0.0,0.0,0.28649999999963427,4234640,520.7872999999994,2131,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,13,0.257,2.1391198120117187,0.18927509802727985,0,0,0.0,0.0,0.0,0.30700000000116745,4234640,453.42340000000013,2131,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,14,0.382,2.0813087463378905,0.2748144503814747,0,0,0.0,0.0,0.0,0.2987000000000961,4234640,443.17419999999964,2131,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,15,0.458,1.9847705993652345,0.33925859355239263,0,0,0.0,0.0,0.0,0.33880000000152677,4234640,430.6492000000013,2131,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,16,0.286,1.93996630859375,0.21792275411709064,0,0,0.0,0.0,0.0,0.2801999999988425,4234640,437.891500000001,2131,32,600,0,0,0
