dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed,sketch_dim,public_validation_samples,protocol_online_bytes,protocol_offline_bytes,secure_multiplications
mnist,tiny_cnn,fedavg,sign_flip,0.4,0.5,1,0.083,2.3133035888671873,0.019168591224018476,0,0,0.0,0.0,0.0,0.3106999999999971,4234640,405.86450000000696,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.4,0.5,2,0.103,2.364847839355469,0.018676337262012694,0,0,0.0,0.0,0.0,0.2509999999347201,4234640,395.25530000003073,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.4,0.5,3,0.103,2.9447880249023437,0.018676337262012694,0,0,0.0,0.0,0.0,0.2551000000039494,4234640,401.37159999994765,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.4,0.5,4,0.103,11.4446171875,0.018676337262012694,0,0,0.0,0.0,0.0,0.240400000052432,4234640,393.8599999999042,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.4,0.5,5,0.103,277.928203125,0.018676337262012694,0,0,0.0,0.0,0.0,0.2551000000039494,4234640,397.71619999999075,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.4,0.5,6,0.103,279735.176,0.018676337262012694,0,0,0.0,0.0,0.0,0.2469000000928645,4234640,390.9805000000688,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.4,0.5,7,0.103,99179601695080.45,0.018676337262012694,0,0,0.0,0.0,0.0,0.3087000000050466,4234640,383.52610000004006,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.4,0.5,8,0.103,,0.018676337262012694,0,0,0.0,0.0,0.0,0.2921999999898617,4234640,395.8956000000171,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.4,0.5,9,0.089,,0.016345270890725436,0,0,0.0,0.0,0.0,0.3558999999313528,4234640,416.49089999998523,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.4,0.5,10,0.089,,0.016345270890725436,0,0,0.0,0.0,0.0,0.36949999991975346,4234640,395.3212999999778,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.4,0.5,11,0.089,,0.016345270890725436,0,0,0.0,0.0,0.0,0.3156999999873733,4234640,396.5763999999581,2180,32,600,0,0,0
mnist,tiny_cnn,fedavg,sign_flip,0.4,0.5,12,0.089,,0.016345270890725436,0,0,0.0,0.0,0.0,0.28779999991002114,4234640,408.9079999999967,2180,32,600,0,0,0
