dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed,sketch_dim,public_validation_samples,protocol_online_bytes,protocol_offline_bytes,secure_multiplications
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,1,0.091,2.3077127685546874,0.02861210426796739,0,0,0.0,0.0,0.0,0.508599999989201,4234640,409.0620000000058,2141,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,2,0.101,2.3076541748046875,0.01834695731153497,0,0,0.0,0.0,0.0,0.28919999999743595,4234640,406.4068000000134,2141,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,3,0.101,2.3083506469726562,0.01834695731153497,0,0,0.0,0.0,0.0,0.29630000000224754,4234640,401.7804000000069,2141,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,4,0.101,2.3097321166992186,0.01834695731153497,0,0,0.0,0.0,0.0,0.6311999999866202,4234640,447.7605000000153,2141,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,5,0.101,2.2984619140625,0.01834695731153497,0,0,0.0,0.0,0.0,0.24849999999787542,4234640,411.62259999998696,2141,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,6,0.101,2.2984891357421877,0.01834695731153497,0,0,0.0,0.0,0.0,0.29390000003104433,4234640,420.3638000000183,2141,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,7,0.101,2.276719909667969,0.018380345768880802,0,0,0.0,0.0,0.0,0.25389999996150436,4234640,411.64780000002565,2141,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,8,0.101,2.2720289306640624,0.01843065693430657,0,0,0.0,0.0,0.0,0.2606999999557047,4234640,428.87890000002926,2141,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,9,0.134,2.2519146728515627,0.06675524847196386,0,0,0.0,0.0,0.0,0.23979999997436607,4234640,412.5968999999827,2141,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,10,0.266,2.214365478515625,0.12999905063133016,0,0,0.0,0.0,0.0,0.36319999998113417,4234640,413.3362000000034,2141,32,600,0,0,0
