dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed,sketch_dim,public_validation_samples,protocol_online_bytes,protocol_offline_bytes,secure_multiplications,fedgt_estimated_malicious,fedgt_positive_tests
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,1,0.101,2.3066665649414064,0.01834695731153497,1,2,0.5,0.25,0.0,2859.9398,19902808,3612.8234,2141,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,2,0.102,2.3036336669921873,0.020317824377457404,1,2,0.5,0.25,0.0,378.6089000000006,19902808,1166.3872,2141,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,3,0.111,2.3007574462890625,0.034309901119422746,1,0,0.5,0.0,0.0,371.4788999999996,20749736,1196.0126999999998,2141,32,600,20749736,0,0,1,4
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,4,0.101,2.3043981323242186,0.01834695731153497,1,2,0.5,0.25,0.0,364.26379999999983,19902808,1140.5586999999996,2141,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,5,0.101,2.3104454956054687,0.01834695731153497,0,2,0.0,0.25,0.0,362.27929999999907,20326272,1115.071500000001,2141,32,600,20326272,0,0,2,6
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,6,0.17,2.2941993408203123,0.06510743718084837,0,2,0.0,0.25,0.0,373.58410000000043,20326272,1144.5260000000007,2141,32,600,20326272,0,0,2,6
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,7,0.111,2.31613623046875,0.03506103571157783,1,2,0.5,0.25,0.0,399.21840000000054,19902808,1215.2133999999996,2141,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,8,0.101,2.2798553466796876,0.01834695731153497,1,2,0.5,0.25,0.0,376.09080000000006,19902808,1095.0474999999997,2141,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,9,0.135,2.2512404174804685,0.0752241646248189,0,3,0.0,0.375,0.0,374.1635999999993,19902808,1171.1205000000007,2141,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,10,0.101,2.28307470703125,0.01834695731153497,0,3,0.0,0.375,0.0,372.3547000000007,19902808,1118.3503000000012,2141,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,11,0.254,2.1718340148925783,0.14353196522554704,0,1,0.0,0.125,0.0,377.35280000000057,20749736,1135.1259999999997,2141,32,600,20749736,0,0,1,4
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,12,0.288,2.1425985107421877,0.23806228601251095,1,1,0.5,0.125,0.0,386.12469999999985,20326272,1204.3047999999992,2141,32,600,20326272,0,0,2,6
