dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed
mnist,mlp,fedavg,label_flip,0.0,0.5,1,0.181,2.2305480346679687,0.1058082494087899,0,0,0.0,0.0,0.0,0.6620000000001625,4070800,201.28410000000008,2026
mnist,mlp,fedavg,label_flip,0.0,0.5,2,0.361,2.130976318359375,0.30766290774456945,0,0,0.0,0.0,0.0,0.31139999999973966,4070800,200.28079999999983,2026
mnist,mlp,fedavg,label_flip,0.0,0.5,3,0.601,2.0152457275390625,0.5528135571631732,0,0,0.0,0.0,0.0,0.2958000000004013,4070800,202.7509999999997,2026
mnist,mlp,fedavg,label_flip,0.0,0.5,4,0.719,1.8863336791992187,0.6729138940828536,0,0,0.0,0.0,0.0,0.31010000000009086,4070800,206.45209999999992,2026
mnist,mlp,fedavg,label_flip,0.0,0.5,5,0.754,1.749126007080078,0.7084001498712383,0,0,0.0,0.0,0.0,0.5092000000002095,4070800,198.19249999999977,2026
mnist,mlp,fedavg,label_flip,0.0,0.5,6,0.759,1.61107470703125,0.7166795569267582,0,0,0.0,0.0,0.0,0.29140000000005273,4070800,209.28279999999998,2026
mnist,mlp,fedavg,label_flip,0.0,0.5,7,0.77,1.4760762329101562,0.729969829847285,0,0,0.0,0.0,0.0,0.42760000000008347,4070800,204.11819999999992,2026
mnist,mlp,fedavg,label_flip,0.0,0.5,8,0.773,1.350772186279297,0.7408260698531761,0,0,0.0,0.0,0.0,0.2860999999998448,4070800,196.5975000000002,2026
mnist,mlp,fedavg,label_flip,0.0,0.5,9,0.794,1.238863250732422,0.7623477237010508,0,0,0.0,0.0,0.0,0.2732000000000845,4070800,203.84819999999993,2026
mnist,mlp,fedavg,label_flip,0.0,0.5,10,0.805,1.1419967041015624,0.7772885326803981,0,0,0.0,0.0,0.0,0.33709999999942397,4070800,201.32360000000028,2026
mnist,mlp,fedavg,label_flip,0.2,0.5,1,0.142,2.2561109619140627,0.05021828620951143,0,0,0.0,0.0,0.0,0.26740000000025077,4070800,196.89080000000024,2026
mnist,mlp,fedavg,label_flip,0.2,0.5,2,0.165,2.19568505859375,0.07864244757388066,0,0,0.0,0.0,0.0,0.2956999999996768,4070800,213.46250000000032,2026
mnist,mlp,fedavg,label_flip,0.2,0.5,3,0.236,2.1232447509765624,0.15404435540424505,0,0,0.0,0.0,0.0,0.26469999999978455,4070800,201.3248000000001,2026
mnist,mlp,fedavg,label_flip,0.2,0.5,4,0.381,2.038094329833984,0.29574576545878556,0,0,0.0,0.0,0.0,0.29089999999953875,4070800,213.62910000000034,2026
mnist,mlp,fedavg,label_flip,0.2,0.5,5,0.474,1.9456490478515625,0.36897176463834996,0,0,0.0,0.0,0.0,0.28959999999944586,4070800,209.18619999999953,2026
mnist,mlp,fedavg,label_flip,0.2,0.5,6,0.51,1.8492080688476562,0.3896374155211684,0,0,0.0,0.0,0.0,0.28100000000019776,4070800,196.06270000000058,2026
mnist,mlp,fedavg,label_flip,0.2,0.5,7,0.534,1.7511175537109376,0.41186924983086576,0,0,0.0,0.0,0.0,0.2972999999997228,4070800,198.01829999999933,2026
mnist,mlp,fedavg,label_flip,0.2,0.5,8,0.549,1.6585091552734375,0.4345992255476466,0,0,0.0,0.0,0.0,0.4424000000007311,4070800,196.2142,2026
mnist,mlp,fedavg,label_flip,0.2,0.5,9,0.569,1.570416961669922,0.4653656595625163,0,0,0.0,0.0,0.0,0.2851999999995414,4070800,206.8285000000003,2026
mnist,mlp,fedavg,label_flip,0.2,0.5,10,0.602,1.4877181396484376,0.5251494017340745,0,0,0.0,0.0,0.0,0.2667000000000641,4070800,204.8836000000005,2026
mnist,mlp,fedavg,sign_flip,0.0,0.5,1,0.181,2.2305480346679687,0.1058082494087899,0,0,0.0,0.0,0.0,0.3007999999997679,4070800,197.03309999999962,2026
mnist,mlp,fedavg,sign_flip,0.0,0.5,2,0.361,2.130976318359375,0.30766290774456945,0,0,0.0,0.0,0.0,0.2994000000002828,4070800,202.19650000000033,2026
mnist,mlp,fedavg,sign_flip,0.0,0.5,3,0.601,2.0152457275390625,0.5528135571631732,0,0,0.0,0.0,0.0,0.2849999999998687,4070800,211.20799999999917,2026
mnist,mlp,fedavg,sign_flip,0.0,0.5,4,0.719,1.8863336791992187,0.6729138940828536,0,0,0.0,0.0,0.0,0.25839999999988095,4070800,202.1803999999996,2026
mnist,mlp,fedavg,sign_flip,0.0,0.5,5,0.754,1.749126007080078,0.7084001498712383,0,0,0.0,0.0,0.0,0.26049999999955276,4070800,196.0576999999999,2026
mnist,mlp,fedavg,sign_flip,0.0,0.5,6,0.759,1.61107470703125,0.7166795569267582,0,0,0.0,0.0,0.0,0.28649999999963427,4070800,198.27569999999994,2026
mnist,mlp,fedavg,sign_flip,0.0,0.5,7,0.77,1.4760762329101562,0.729969829847285,0,0,0.0,0.0,0.0,0.27719999999931133,4070800,190.33929999999975,2026
mnist,mlp,fedavg,sign_flip,0.0,0.5,8,0.773,1.350772186279297,0.7408260698531761,0,0,0.0,0.0,0.0,0.2594000000000207,4070800,197.8415,2026
mnist,mlp,fedavg,sign_flip,0.0,0.5,9,0.794,1.238863250732422,0.7623477237010508,0,0,0.0,0.0,0.0,0.2696000000010912,4070800,209.80340000000018,2026
mnist,mlp,fedavg,sign_flip,0.0,0.5,10,0.805,1.1419967041015624,0.7772885326803981,0,0,0.0,0.0,0.0,0.2883999999987452,4070800,211.72329999999917,2026
mnist,mlp,fedavg,sign_flip,0.2,0.5,1,0.138,2.355792724609375,0.04283618959394782,0,0,0.0,0.0,0.0,0.2731000000011363,4070800,205.53519999999992,2026
mnist,mlp,fedavg,sign_flip,0.2,0.5,2,0.124,2.5247855224609377,0.02210338680926916,0,0,0.0,0.0,0.0,0.27899999999903,4070800,215.25300000000058,2026
mnist,mlp,fedavg,sign_flip,0.2,0.5,3,0.124,3.0739129028320313,0.02206405693950178,0,0,0.0,0.0,0.0,0.2970999999991619,4070800,215.20600000000024,2026
mnist,mlp,fedavg,sign_flip,0.2,0.5,4,0.124,4.456409057617187,0.02206405693950178,0,0,0.0,0.0,0.0,0.26240000000044006,4070800,211.1894999999997,2026
mnist,mlp,fedavg,sign_flip,0.2,0.5,5,0.124,7.724522216796875,0.02206405693950178,0,0,0.0,0.0,0.0,0.2884999999999138,4070800,203.6818,2026
mnist,mlp,fedavg,sign_flip,0.2,0.5,6,0.124,14.994665771484375,0.02206405693950178,0,0,0.0,0.0,0.0,0.29650000000103205,4070800,213.87660000000074,2026
mnist,mlp,fedavg,sign_flip,0.2,0.5,7,0.124,29.8390771484375,0.02206405693950178,0,0,0.0,0.0,0.0,0.28909999999982006,4070800,206.98720000000037,2026
