dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,1,0.115,2.2996240234375,0.02062780269058296,0,0,0.0,0.0,0.0,0.3436999999997248,4234640,432.2862999999999,2029
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,2,0.115,2.2974658203125,0.02062780269058296,0,0,0.0,0.0,0.0,0.3196000000000865,4234640,398.84450000000004,2029
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,3,0.115,2.294145690917969,0.02062780269058296,0,0,0.0,0.0,0.0,0.27860000000012874,4234640,409.2673000000002,2029
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,4,0.115,2.290633544921875,0.02062780269058296,0,0,0.0,0.0,0.0,0.2517000000001879,4234640,394.1405000000002,2029
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,5,0.115,2.2905927734375,0.02062780269058296,0,0,0.0,0.0,0.0,0.3047000000000466,4234640,412.53360000000015,2029
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,6,0.115,2.2875172729492186,0.02062780269058296,0,0,0.0,0.0,0.0,0.38479999999996295,4234640,405.24570000000006,2029
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,7,0.115,2.2818368530273436,0.02062780269058296,0,0,0.0,0.0,0.0,0.29699999999976967,4234640,395.55500000000075,2029
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,8,0.121,2.2671633911132814,0.0328606169904637,0,0,0.0,0.0,0.0,0.30060000000009524,4234640,387.7689999999996,2029
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,9,0.17,2.255682373046875,0.07617975575461712,0,0,0.0,0.0,0.0,0.25420000000053733,4234640,391.01730000000055,2029
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,10,0.098,2.235997802734375,0.024578393721823345,0,0,0.0,0.0,0.0,0.30219999999925307,4234640,389.9816999999999,2029
