dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,1,0.165,2.2934873657226564,0.0817269467739502,0,0,0.0,0.0,0.0,0.3099999999998104,4234640,403.8708,2027
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,2,0.264,2.27788671875,0.13678440409747292,0,0,0.0,0.0,0.0,0.328800000000129,4234640,397.4382000000003,2027
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,3,0.308,2.254702880859375,0.17549245405637923,0,0,0.0,0.0,0.0,0.38250000000017437,4234640,413.5050000000002,2027
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,4,0.221,2.2199959106445313,0.11607377400344547,0,0,0.0,0.0,0.0,0.2743000000000606,4234640,418.5350000000003,2027
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,5,0.388,2.161958435058594,0.24124513350720425,0,0,0.0,0.0,0.0,0.32000000000032003,4234640,411.6444000000006,2027
mnist,tiny_cnn,fedavg,label_flip,0.0,0.5,6,0.485,2.078711669921875,0.3804260749213449,0,0,0.0,0.0,0.0,0.2588000000001145,4234640,404.91220000000004,2027
mnist,tiny_cnn,fedavg,label_flip,0.1,0.5,1,0.157,2.2940744018554686,0.06724019225499082,0,0,0.0,0.0,0.0,0.24530000000044794,4234640,401.10129999999964,2027
mnist,tiny_cnn,fedavg,label_flip,0.1,0.5,2,0.261,2.2814846801757813,0.15696971846640886,0,0,0.0,0.0,0.0,0.2712999999996413,4234640,390.8041999999998,2027
mnist,tiny_cnn,fedavg,label_flip,0.1,0.5,3,0.116,2.2668309936523436,0.03682539682539683,0,0,0.0,0.0,0.0,0.34000000000045105,4234640,407.1631,2027
mnist,tiny_cnn,fedavg,label_flip,0.1,0.5,4,0.111,2.24660107421875,0.02973003295701564,0,0,0.0,0.0,0.0,0.26499999999973767,4234640,400.3425000000007,2027
