dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed
fake_mnist,mlp,fedavg,label_flip,0.2,0.5,1,0.095,2.30786376953125,0.05314905149051491,0,0,0.0,0.0,0.0,0.5454000000000292,0,626.1638,7
fake_mnist,mlp,fedavg,label_flip,0.2,0.5,2,0.085,2.3280284118652346,0.01596244131455399,0,0,0.0,0.0,0.0,0.4512999999999323,0,693.7549,7
fake_mnist,mlp,secure_fedavg,label_flip,0.2,0.5,1,0.095,2.30786376953125,0.05314905149051491,0,0,0.0,0.0,3.125700000000009,3.1309000000003806,2035400,625.1232,7
fake_mnist,mlp,secure_fedavg,label_flip,0.2,0.5,2,0.085,2.328028259277344,0.01596244131455399,0,0,0.0,0.0,3.5453999999992547,3.551299999999813,2035400,639.983,7
fake_mnist,mlp,krum,label_flip,0.2,0.5,1,0.075,2.3033488464355467,0.04882812261038649,0,1,0.0,0.25,0.0,1.5287999999999968,0,618.5262000000007,7
fake_mnist,mlp,krum,label_flip,0.2,0.5,2,0.09,2.331987762451172,0.024658093488467033,0,1,0.0,0.25,0.0,1.7161999999997235,0,623.4861000000001,7
fake_mnist,mlp,trimmed_mean,label_flip,0.2,0.5,1,0.095,2.3048500061035155,0.052106890405064846,0,0,0.0,0.0,0.0,1.899799999999452,0,640.0885000000001,7
fake_mnist,mlp,trimmed_mean,label_flip,0.2,0.5,2,0.085,2.3223690795898437,0.01596244131455399,0,0,0.0,0.0,0.0,2.210499999998561,0,630.0839000000007,7
fake_mnist,mlp,coordinate_median,label_flip,0.2,0.5,1,0.1,2.3051486206054688,0.06228143582207345,0,0,0.0,0.0,0.0,2.5317000000004697,0,626.7881000000007,7
fake_mnist,mlp,coordinate_median,label_flip,0.2,0.5,2,0.085,2.321139373779297,0.01588785046728972,0,0,0.0,0.0,0.0,2.3023000000002014,0,628.4961000000013,7
fake_mnist,mlp,plain_srsf,label_flip,0.2,0.5,1,0.105,2.308035430908203,0.0394182518223524,0,1,0.0,0.25,0.0,0.13490000000082603,2035400,638.0025000000007,7
fake_mnist,mlp,plain_srsf,label_flip,0.2,0.5,2,0.085,2.334230651855469,0.01588785046728972,0,1,0.0,0.25,0.0,0.1429000000001679,2035400,627.3651999999998,7
fake_mnist,mlp,pp_srsf,label_flip,0.2,0.5,1,0.105,2.308035430908203,0.0394182518223524,0,1,0.0,0.25,7.360000000000255,1.558199999999843,1280,620.6927999999987,7
fake_mnist,mlp,pp_srsf,label_flip,0.2,0.5,2,0.085,2.3342308044433593,0.01588785046728972,0,1,0.0,0.25,7.163200000000813,1.500599999999963,1280,621.4189999999995,7
