method,sketch_dim,accuracy_mean,accuracy_std,tpr_mean,online_bytes
pp_srsf,8,0.6743333333333333,0.10420332688227052,1.0,12240.0
pp_srsf,16,0.6863333333333334,0.0857574097867545,1.0,23760.0
pp_srsf,32,0.694,0.0755446887610241,1.0,46800.0
pp_srsf,64,0.693,0.07754353615872828,1.0,92880.0
pp_srsf,128,0.6933333333333334,0.07556674753708365,1.0,185040.0
pp_srsf_trust,8,0.3539999999999999,0.21049228014347698,0.8333333333333334,12240.0
pp_srsf_trust,16,0.431,0.07810249675906653,1.0,23760.0
pp_srsf_trust,32,0.4116666666666666,0.06815668223537094,0.8333333333333334,46800.0
pp_srsf_trust,64,0.43,0.07626925986267334,1.0,92880.0
pp_srsf_trust,128,0.43,0.07626925986267334,1.0,185040.0
