"dataset","model","method","attack_type","malicious_ratio","seed","round","test_accuracy","macro_f1","true_positive_rate","false_positive_rate","detected_malicious","false_positive"
"fashion_mnist","tiny_cnn","fedavg","gaussian_noise","0.0","2028","6","0.382","0.2809108418544681","0.0","0.0","0","0"
"fashion_mnist","tiny_cnn","pp_srsf","gaussian_noise","0.0","2028","6","0.382","0.2809108418544681","0.0","0.0","0","0"
"fashion_mnist","tiny_cnn","fedavg","gaussian_noise","0.2","2028","6","0.161","0.13836056645789283","0.0","0.0","0","0"
"fashion_mnist","tiny_cnn","pp_srsf","gaussian_noise","0.2","2028","6","0.358","0.2637513253033427","1.0","0.0","2","0"
"fashion_mnist","tiny_cnn","fedavg","label_flip","0.0","2028","6","0.382","0.2809108418544681","0.0","0.0","0","0"
"fashion_mnist","tiny_cnn","pp_srsf","label_flip","0.0","2028","6","0.382","0.2809108418544681","0.0","0.0","0","0"
"fashion_mnist","tiny_cnn","fedavg","label_flip","0.2","2028","6","0.248","0.13546361896762532","0.0","0.0","0","0"
"fashion_mnist","tiny_cnn","pp_srsf","label_flip","0.2","2028","6","0.184","0.09143376324070382","0.0","0.25","0","2"
"fashion_mnist","tiny_cnn","fedavg","sign_flip","0.0","2028","6","0.382","0.2809108418544681","0.0","0.0","0","0"
"fashion_mnist","tiny_cnn","pp_srsf","sign_flip","0.0","2028","6","0.382","0.2809108418544681","0.0","0.0","0","0"
"fashion_mnist","tiny_cnn","fedavg","sign_flip","0.2","2028","6","0.104","0.02052814732180023","0.0","0.0","0","0"
"fashion_mnist","tiny_cnn","pp_srsf","sign_flip","0.2","2028","6","0.359","0.24817452861343234","1.0","0.0","2","0"
