method,attack_type,malicious_ratio,test_accuracy
fedavg,gaussian_noise,0.0,0.704
fedavg,gaussian_noise,0.2,0.078
fedavg,label_flip,0.0,0.704
fedavg,label_flip,0.2,0.535
fedavg,sign_flip,0.0,0.704
fedavg,sign_flip,0.2,0.081
plain_srsf,gaussian_noise,0.0,0.705
plain_srsf,gaussian_noise,0.2,0.716
plain_srsf,label_flip,0.0,0.705
plain_srsf,label_flip,0.2,0.279
plain_srsf,sign_flip,0.0,0.705
plain_srsf,sign_flip,0.2,0.716
pp_srsf,gaussian_noise,0.0,0.705
pp_srsf,gaussian_noise,0.2,0.714
pp_srsf,label_flip,0.0,0.705
pp_srsf,label_flip,0.2,0.279
pp_srsf,sign_flip,0.0,0.705
pp_srsf,sign_flip,0.2,0.714
